epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,7447.62,0.9605,0.5466,0.96851,0.93817,0.93578,0.96331,0.7654,0.71776,0.38389,0.87524,0.003367,0.003367,0.003367
136,7502.57,0.95676,0.53841,0.96563,0.93818,0.93573,0.96348,0.76539,0.71706,0.38313,0.87502,0.0033175,0.0033175,0.0033175
137,7557.53,0.9535,0.54081,0.96757,0.93933,0.93406,0.96338,0.76615,0.71594,0.38204,0.87463,0.003268,0.003268,0.003268
138,7612.48,0.95428,0.5422,0.96698,0.93828,0.93405,0.96321,0.76645,0.71506,0.3815,0.8743,0.0032185,0.0032185,0.0032185
139,7667.54,0.9532,0.53859,0.96722,0.9325,0.93927,0.96335,0.76681,0.71432,0.38094,0.87415,0.003169,0.003169,0.003169
140,7722.54,0.95269,0.53907,0.96578,0.93355,0.94004,0.96348,0.76634,0.71391,0.38093,0.87381,0.0031195,0.0031195,0.0031195
141,7777.44,0.94948,0.53661,0.96431,0.9329,0.93999,0.96365,0.76764,0.71249,0.38039,0.87339,0.00307,0.00307,0.00307
142,7832.38,0.94596,0.53472,0.96569,0.9327,0.93939,0.96402,0.76709,0.71171,0.37967,0.87306,0.0030205,0.0030205,0.0030205
143,7887.3,0.94403,0.5319,0.96261,0.9321,0.94046,0.96409,0.76756,0.71056,0.3789,0.87267,0.002971,0.002971,0.002971
144,7942.21,0.9424,0.53022,0.96208,0.93373,0.93931,0.96409,0.7671,0.70977,0.37875,0.87224,0.0029215,0.0029215,0.0029215
145,7997.25,0.93963,0.52854,0.95881,0.93407,0.9394,0.9641,0.76758,0.70875,0.37864,0.87194,0.002872,0.002872,0.002872
146,8052.17,0.93793,0.5273,0.96034,0.93485,0.93855,0.96423,0.76776,0.70821,0.37767,0.87167,0.0028225,0.0028225,0.0028225
147,8107.19,0.9376,0.52881,0.96161,0.93466,0.93719,0.96429,0.76766,0.70775,0.37694,0.87146,0.002773,0.002773,0.002773
148,8161.99,0.93721,0.52589,0.96008,0.93457,0.93783,0.96452,0.76901,0.70715,0.37649,0.87122,0.0027235,0.0027235,0.0027235
149,8216.96,0.92672,0.52103,0.95773,0.93425,0.9399,0.96473,0.76879,0.70705,0.37577,0.87102,0.002674,0.002674,0.002674
150,8271.92,0.93219,0.52357,0.95544,0.93415,0.9401,0.96498,0.76891,0.70633,0.37532,0.87079,0.0026245,0.0026245,0.0026245
